FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage o Less than 10,000","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)",Year,"Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill
21205,Kentucky,Rowan,ARC,"Rowan County, Kentucky",0.05 ,0.44 ,0.09 ,0.06 ,0.10 ,0.13 ,0.11 ,0.21 ,0.07 ,0.12 ,0.05 ,0.05 ,0.34 ,0.07 ,0.03 ,0.21 ,0.02 ,0.01 ,0.04 ,0.04 ,0.04 ,0.15 ,0.11 ,0.18 ,0.10 ,0.15 ,0.15 ,2022.00 ,Combined,4000,80,960
21207,Kentucky,Russell,ARC,"Russell County, Kentucky",0.06 ,0.45 ,0.08 ,0.08 ,0.12 ,0.12 ,0.12 ,0.16 ,0.16 ,0.10 ,0.04 ,0.03 ,0.41 ,0.11 ,0.01 ,0.18 ,0.03 ,0.02 ,0.07 ,0.05 ,0.04 ,0.09 ,0.13 ,0.18 ,0.19 ,0.12 ,0.08 ,2022.00 ,Combined,4000,80,960
21231,Kentucky,Wayne,ARC,"Wayne County, Kentucky",0.05 ,0.55 ,0.08 ,0.12 ,0.13 ,0.13 ,0.13 ,0.17 ,0.11 ,0.10 ,0.03 ,0.02 ,0.47 ,0.15 ,0.02 ,0.17 ,0.03 ,0.03 ,0.10 ,0.07 ,0.05 ,0.14 ,0.11 ,0.18 ,0.11 ,0.12 ,0.07 ,2022.00 ,Combined,4000,80,960
21235,Kentucky,Whitley,ARC,"Whitley County, Kentucky",0.06 ,0.50 ,0.08 ,0.11 ,0.13 ,0.09 ,0.15 ,0.17 ,0.11 ,0.11 ,0.03 ,0.03 ,0.41 ,0.12 ,0.03 ,0.20 ,0.03 ,0.02 ,0.11 ,0.06 ,0.06 ,0.09 ,0.11 ,0.17 ,0.13 ,0.15 ,0.07 ,2022.00 ,Combined,4000,80,960
21237,Kentucky,Wolfe,ARC,"Wolfe County, Kentucky",0.20 ,0.63 ,0.01 ,0.25 ,0.20 ,0.12 ,0.17 ,0.16 ,0.05 ,0.02 ,0.01 ,0.00 ,0.48 ,0.36 ,0.04 ,0.34 ,0.01 ,0.00 ,0.13 ,0.09 ,0.09 ,0.14 ,0.23 ,0.19 ,0.07 ,0.03 ,0.01 ,2022.00 ,Combined,4000,80,960
24001,Maryland,Allegany,ARC,"Allegany County, Maryland",0.07 ,0.50 ,0.07 ,0.06 ,0.10 ,0.10 ,0.13 ,0.18 ,0.13 ,0.15 ,0.05 ,0.03 ,0.41 ,0.08 ,0.04 ,0.21 ,0.02 ,0.01 ,0.03 ,0.03 ,0.04 ,0.09 ,0.12 ,0.20 ,0.17 ,0.19 ,0.10 ,2022.00 ,Combined,4000,80,960
24023,Maryland,Garrett,ARC,"Garrett County, Maryland",0.05 ,0.42 ,0.04 ,0.04 ,0.08 ,0.10 ,0.13 ,0.18 ,0.13 ,0.16 ,0.07 ,0.07 ,0.40 ,0.04 ,0.02 ,0.15 ,0.02 ,0.01 ,0.02 ,0.03 ,0.03 ,0.09 ,0.13 ,0.17 ,0.15 ,0.18 ,0.17 ,2022.00 ,Combined,4000,80,960
24043,Maryland,Washington,ARC,"Washington County, Maryland",0.05 ,0.40 ,0.05 ,0.04 ,0.07 ,0.08 ,0.12 ,0.16 ,0.13 ,0.18 ,0.09 ,0.09 ,0.34 ,0.06 ,0.03 ,0.16 ,0.02 ,0.01 ,0.01 ,0.02 ,0.02 ,0.06 ,0.09 ,0.16 ,0.14 ,0.22 ,0.24 ,2022.00 ,Combined,4000,80,960
28003,Mississippi,Alcorn,ARC,"Alcorn County, Mississippi",0.06 ,0.45 ,0.07 ,0.09 ,0.13 ,0.10 ,0.13 ,0.19 ,0.10 ,0.11 ,0.05 ,0.03 ,0.40 ,0.11 ,0.02 ,0.20 ,0.03 ,0.01 ,0.04 ,0.05 ,0.05 ,0.10 ,0.12 ,0.21 ,0.13 ,0.15 ,0.10 ,2022.00 ,Combined,4000,80,960
28009,Mississippi,Benton,ARC,"Benton County, Mississippi",0.04 ,0.46 ,0.09 ,0.06 ,0.17 ,0.11 ,0.17 ,0.17 ,0.09 ,0.09 ,0.01 ,0.03 ,0.44 ,0.09 ,0.03 ,0.17 ,0.05 ,0.04 ,0.06 ,0.10 ,0.06 ,0.08 ,0.15 ,0.20 ,0.11 ,0.11 ,0.05 ,2022.00 ,Combined,4000,80,960
28013,Mississippi,Calhoun,ARC,"Calhoun County, Mississippi",0.04 ,0.44 ,0.05 ,0.09 ,0.15 ,0.12 ,0.15 ,0.20 ,0.11 ,0.11 ,0.02 ,0.01 ,0.40 ,0.11 ,0.03 ,0.13 ,0.02 ,0.01 ,0.06 ,0.06 ,0.08 ,0.11 ,0.14 ,0.21 ,0.13 ,0.14 ,0.03 ,2022.00 ,Combined,4000,80,960
28017,Mississippi,Chickasaw,ARC,"Chickasaw County, Mississippi",0.03 ,0.48 ,0.10 ,0.12 ,0.13 ,0.10 ,0.17 ,0.13 ,0.10 ,0.10 ,0.03 ,0.01 ,0.43 ,0.07 ,0.01 ,0.16 ,0.03 ,0.06 ,0.08 ,0.10 ,0.03 ,0.09 ,0.15 ,0.16 ,0.14 ,0.12 ,0.05 ,2022.00 ,Combined,4000,80,960
28019,Mississippi,Choctaw,ARC,"Choctaw County, Mississippi",0.07 ,0.48 ,0.04 ,0.09 ,0.17 ,0.12 ,0.13 ,0.16 ,0.12 ,0.13 ,0.02 ,0.02 ,0.48 ,0.09 ,0.01 ,0.15 ,0.02 ,0.02 ,0.08 ,0.08 ,0.07 ,0.11 ,0.15 ,0.15 ,0.14 ,0.16 ,0.03 ,2022.00 ,Combined,4000,80,960
28025,Mississippi,Clay,ARC,"Clay County, Mississippi",0.09 ,0.48 ,0.11 ,0.09 ,0.12 ,0.16 ,0.14 ,0.15 ,0.13 ,0.07 ,0.02 ,0.02 ,0.34 ,0.04 ,0.01 ,0.19 ,0.06 ,0.02 ,0.06 ,0.06 ,0.04 ,0.16 ,0.13 ,0.16 ,0.16 ,0.10 ,0.05 ,2022.00 ,Combined,4000,80,960
28057,Mississippi,Itawamba,ARC,"Itawamba County, Mississippi",0.03 ,0.42 ,0.04 ,0.06 ,0.10 ,0.11 ,0.15 ,0.15 ,0.17 ,0.18 ,0.03 ,0.02 ,0.37 ,0.06 ,0.01 ,0.07 ,0.03 ,0.01 ,0.06 ,0.02 ,0.06 ,0.12 ,0.14 ,0.16 ,0.15 ,0.20 ,0.05 ,2022.00 ,Combined,4000,80,960
28069,Mississippi,Kemper,ARC,"Kemper County, Mississippi",0.14 ,0.49 ,0.12 ,0.06 ,0.15 ,0.07 ,0.21 ,0.16 ,0.09 ,0.06 ,0.05 ,0.03 ,0.46 ,0.07 ,0.00 ,0.16 ,0.04 ,0.02 ,0.06 ,0.03 ,0.14 ,0.07 ,0.22 ,0.19 ,0.10 ,0.04 ,0.09 ,2022.00 ,Combined,4000,80,960
28081,Mississippi,Lee,ARC,"Lee County, Mississippi",0.06 ,0.37 ,0.05 ,0.05 ,0.10 ,0.09 ,0.12 ,0.15 ,0.15 ,0.17 ,0.06 ,0.06 ,0.33 ,0.05 ,0.02 ,0.09 ,0.02 ,0.01 ,0.03 ,0.04 ,0.04 ,0.07 ,0.11 ,0.16 ,0.17 ,0.20 ,0.16 ,2022.00 ,Combined,4000,80,960
28087,Mississippi,Lowndes,ARC,"Lowndes County, Mississippi",0.06 ,0.42 ,0.09 ,0.07 ,0.12 ,0.09 ,0.10 ,0.16 ,0.13 ,0.15 ,0.06 ,0.04 ,0.33 ,0.04 ,0.01 ,0.13 ,0.03 ,0.02 ,0.05 ,0.05 ,0.05 ,0.07 ,0.11 ,0.16 ,0.15 ,0.19 ,0.14 ,2022.00 ,Combined,4000,80,960
28093,Mississippi,Marshall,ARC,"Marshall County, Mississippi",0.05 ,0.46 ,0.06 ,0.07 ,0.09 ,0.09 ,0.18 ,0.19 ,0.08 ,0.15 ,0.04 ,0.05 ,0.40 ,0.11 ,0.02 ,0.10 ,0.03 ,0.01 ,0.05 ,0.04 ,0.05 ,0.09 ,0.15 ,0.18 ,0.10 ,0.19 ,0.12 ,2022.00 ,Combined,4000,80,960
28095,Mississippi,Monroe,ARC,"Monroe County, Mississippi",0.05 ,0.47 ,0.07 ,0.06 ,0.13 ,0.10 ,0.13 ,0.17 ,0.12 ,0.14 ,0.05 ,0.03 ,0.38 ,0.06 ,0.03 ,0.12 ,0.04 ,0.02 ,0.05 ,0.05 ,0.05 ,0.09 ,0.14 ,0.18 ,0.14 ,0.15 ,0.11 ,2022.00 ,Combined,4000,80,960
28097,Mississippi,Montgomery,ARC,"Montgomery County, Mississippi",0.08 ,0.51 ,0.11 ,0.09 ,0.13 ,0.14 ,0.18 ,0.11 ,0.09 ,0.07 ,0.04 ,0.04 ,0.50 ,0.11 ,0.02 ,0.16 ,0.09 ,0.01 ,0.09 ,0.03 ,0.05 ,0.06 ,0.19 ,0.15 ,0.11 ,0.11 ,0.11 ,2022.00 ,Combined,4000,80,960
28103,Mississippi,Noxubee,ARC,"Noxubee County, Mississippi",0.09 ,0.47 ,0.13 ,0.09 ,0.10 ,0.11 ,0.15 ,0.22 ,0.07 ,0.09 ,0.03 ,0.00 ,0.43 ,0.14 ,0.04 ,0.28 ,0.05 ,0.04 ,0.06 ,0.05 ,0.03 ,0.12 ,0.17 ,0.22 ,0.10 ,0.11 ,0.03 ,2022.00 ,Combined,4000,80,960
28105,Mississippi,Oktibbeha,ARC,"Oktibbeha County, Mississippi",0.07 ,0.44 ,0.16 ,0.06 ,0.13 ,0.08 ,0.12 ,0.11 ,0.11 ,0.11 ,0.07 ,0.05 ,0.23 ,0.05 ,0.03 ,0.10 ,0.03 ,0.01 ,0.04 ,0.02 ,0.03 ,0.04 ,0.12 ,0.14 ,0.15 ,0.17 ,0.23 ,2022.00 ,Combined,4000,80,960
28107,Mississippi,Panola,ARC,"Panola County, Mississippi",0.10 ,0.49 ,0.06 ,0.09 ,0.12 ,0.12 ,0.11 ,0.15 ,0.14 ,0.11 ,0.06 ,0.03 ,0.46 ,0.09 ,0.03 ,0.13 ,0.03 ,0.02 ,0.06 ,0.06 ,0.05 ,0.08 ,0.11 ,0.19 ,0.16 ,0.14 ,0.12 ,2022.00 ,Combined,4000,80,960
28115,Mississippi,Pontotoc,ARC,"Pontotoc County, Mississippi",0.03 ,0.41 ,0.06 ,0.04 ,0.10 ,0.12 ,0.15 ,0.16 ,0.14 ,0.16 ,0.06 ,0.02 ,0.34 ,0.06 ,0.01 ,0.10 ,0.03 ,0.01 ,0.04 ,0.05 ,0.02 ,0.09 ,0.14 ,0.17 ,0.16 ,0.19 ,0.09 ,2022.00 ,Combined,4000,80,960
28117,Mississippi,Prentiss,ARC,"Prentiss County, Mississippi",0.05 ,0.45 ,0.08 ,0.08 ,0.11 ,0.08 ,0.15 ,0.16 ,0.14 ,0.14 ,0.04 ,0.03 ,0.38 ,0.09 ,0.02 ,0.11 ,0.02 ,0.02 ,0.06 ,0.04 ,0.06 ,0.07 ,0.15 ,0.18 ,0.15 ,0.16 ,0.09 ,2022.00 ,Combined,4000,80,960
28139,Mississippi,Tippah,ARC,"Tippah County, Mississippi",0.06 ,0.43 ,0.04 ,0.07 ,0.15 ,0.11 ,0.17 ,0.15 ,0.14 ,0.12 ,0.03 ,0.03 ,0.41 ,0.07 ,0.01 ,0.11 ,0.01 ,0.02 ,0.05 ,0.05 ,0.09 ,0.10 ,0.13 ,0.17 ,0.16 ,0.15 ,0.07 ,2022.00 ,Combined,4000,80,960
28141,Mississippi,Tishomingo,ARC,"Tishomingo County, Mississippi",0.04 ,0.49 ,0.09 ,0.07 ,0.16 ,0.08 ,0.12 ,0.18 ,0.13 ,0.09 ,0.04 ,0.03 ,0.39 ,0.13 ,0.01 ,0.11 ,0.05 ,0.04 ,0.04 ,0.09 ,0.04 ,0.08 ,0.13 ,0.18 ,0.15 ,0.12 ,0.09 ,2022.00 ,Combined,4000,80,960
28145,Mississippi,Union,ARC,"Union County, Mississippi",0.04 ,0.41 ,0.04 ,0.03 ,0.12 ,0.10 ,0.15 ,0.20 ,0.14 ,0.13 ,0.05 ,0.04 ,0.39 ,0.09 ,0.03 ,0.07 ,0.02 ,0.02 ,0.04 ,0.07 ,0.04 ,0.08 ,0.13 ,0.19 ,0.16 ,0.15 ,0.11 ,2022.00 ,Combined,4000,80,960
28155,Mississippi,Webster,ARC,"Webster County, Mississippi",0.06 ,0.44 ,0.06 ,0.06 ,0.09 ,0.10 ,0.14 ,0.19 ,0.15 ,0.13 ,0.06 ,0.02 ,0.41 ,0.08 ,0.03 ,0.20 ,0.01 ,0.01 ,0.04 ,0.02 ,0.05 ,0.07 ,0.16 ,0.20 ,0.18 ,0.16 ,0.09 ,2022.00 ,Combined,4000,80,960
28159,Mississippi,Winston,ARC,"Winston County, Mississippi",0.07 ,0.50 ,0.06 ,0.08 ,0.15 ,0.12 ,0.12 ,0.20 ,0.10 ,0.11 ,0.02 ,0.04 ,0.45 ,0.09 ,0.02 ,0.20 ,0.01 ,0.01 ,0.04 ,0.07 ,0.08 ,0.12 ,0.11 ,0.21 ,0.13 ,0.15 ,0.08 ,2022.00 ,Combined,4000,80,960
28161,Mississippi,Yalobusha,ARC,"Yalobusha County, Mississippi",0.05 ,0.48 ,0.07 ,0.07 ,0.14 ,0.14 ,0.11 ,0.20 ,0.12 ,0.09 ,0.05 ,0.01 ,0.47 ,0.09 ,0.01 ,0.10 ,0.02 ,0.02 ,0.07 ,0.09 ,0.03 ,0.12 ,0.10 ,0.19 ,0.14 ,0.13 ,0.09 ,2022.00 ,Combined,4000,80,960
36003,New York,Allegany,ARC,"Allegany County, New York",0.07 ,0.46 ,0.07 ,0.05 ,0.09 ,0.09 ,0.13 ,0.19 ,0.14 ,0.15 ,0.05 ,0.03 ,0.43 ,0.08 ,0.04 ,0.15 ,0.03 ,0.02 ,0.03 ,0.03 ,0.04 ,0.09 ,0.12 ,0.20 ,0.16 ,0.18 ,0.10 ,2022.00 ,Combined,4000,80,960
36007,New York,Broome,ARC,"Broome County, New York",0.07 ,0.43 ,0.07 ,0.05 ,0.10 ,0.09 ,0.12 ,0.18 ,0.12 ,0.15 ,0.06 ,0.06 ,0.37 ,0.06 ,0.03 ,0.15 ,0.03 ,0.01 ,0.02 ,0.03 ,0.04 ,0.07 ,0.11 ,0.19 ,0.14 ,0.20 ,0.17 ,2022.00 ,Combined,4000,80,960
36009,New York,Cattaraugus,ARC,"Cattaraugus County, New York",0.05 ,0.43 ,0.05 ,0.07 ,0.10 ,0.10 ,0.14 ,0.18 ,0.13 ,0.15 ,0.05 ,0.04 ,0.41 ,0.08 ,0.03 ,0.16 ,0.03 ,0.02 ,0.04 ,0.04 ,0.03 ,0.09 ,0.12 ,0.19 ,0.15 ,0.19 ,0.11 ,2022.00 ,Combined,4000,80,960
36013,New York,Chautauqua,ARC,"Chautauqua County, New York",0.05 ,0.44 ,0.06 ,0.06 ,0.11 ,0.10 ,0.13 ,0.18 ,0.12 ,0.15 ,0.05 ,0.04 ,0.39 ,0.07 ,0.04 ,0.20 ,0.02 ,0.02 ,0.03 ,0.03 ,0.04 ,0.08 ,0.12 ,0.18 ,0.16 ,0.19 ,0.12 ,2022.00 ,Combined,4000,80,960
36015,New York,Chemung,ARC,"Chemung County, New York",0.06 ,0.43 ,0.06 ,0.05 ,0.08 ,0.09 ,0.12 ,0.19 ,0.14 ,0.17 ,0.06 ,0.05 ,0.39 ,0.06 ,0.04 ,0.17 ,0.02 ,0.01 ,0.02 ,0.03 ,0.03 ,0.06 ,0.12 ,0.19 ,0.16 ,0.22 ,0.14 ,2022.00 ,Combined,4000,80,960
36017,New York,Chenango,ARC,"Chenango County, New York",0.07 ,0.41 ,0.03 ,0.05 ,0.09 ,0.10 ,0.13 ,0.20 ,0.14 ,0.17 ,0.06 ,0.04 ,0.42 ,0.08 ,0.04 ,0.15 ,0.02 ,0.01 ,0.03 ,0.04 ,0.04 ,0.08 ,0.12 ,0.20 ,0.16 ,0.20 ,0.12 ,2022.00 ,Combined,4000,80,960
36023,New York,Cortland,ARC,"Cortland County, New York",0.05 ,0.37 ,0.04 ,0.05 ,0.08 ,0.08 ,0.13 ,0.21 ,0.13 ,0.16 ,0.08 ,0.04 ,0.33 ,0.06 ,0.02 ,0.14 ,0.01 ,0.00 ,0.02 ,0.03 ,0.03 ,0.07 ,0.10 ,0.21 ,0.15 ,0.21 ,0.17 ,2022.00 ,Combined,4000,80,960
36025,New York,Delaware,ARC,"Delaware County, New York",0.06 ,0.47 ,0.06 ,0.05 ,0.10 ,0.09 ,0.13 ,0.19 ,0.14 ,0.14 ,0.06 ,0.05 ,0.47 ,0.07 ,0.03 ,0.12 ,0.03 ,0.02 ,0.03 ,0.04 ,0.03 ,0.08 ,0.13 ,0.18 ,0.15 ,0.17 ,0.14 ,2022.00 ,Combined,4000,80,960
36077,New York,Otsego,ARC,"Otsego County, New York",0.05 ,0.44 ,0.05 ,0.04 ,0.09 ,0.07 ,0.12 ,0.19 ,0.15 ,0.17 ,0.06 ,0.06 ,0.42 ,0.04 ,0.02 ,0.10 ,0.02 ,0.02 ,0.02 ,0.04 ,0.04 ,0.07 ,0.10 ,0.18 ,0.17 ,0.20 ,0.15 ,2022.00 ,Combined,4000,80,960
36095,New York,Schoharie,ARC,"Schoharie County, New York",0.05 ,0.42 ,0.03 ,0.05 ,0.07 ,0.07 ,0.12 ,0.18 ,0.16 ,0.18 ,0.07 ,0.07 ,0.43 ,0.06 ,0.03 ,0.12 ,0.02 ,0.01 ,0.02 ,0.03 ,0.03 ,0.07 ,0.11 ,0.17 ,0.17 ,0.20 ,0.16 ,2022.00 ,Combined,4000,80,960
36097,New York,Schuyler,ARC,"Schuyler County, New York",0.06 ,0.42 ,0.04 ,0.05 ,0.10 ,0.09 ,0.13 ,0.15 ,0.15 ,0.17 ,0.07 ,0.04 ,0.41 ,0.07 ,0.03 ,0.17 ,0.02 ,0.01 ,0.02 ,0.04 ,0.05 ,0.09 ,0.11 ,0.16 ,0.16 ,0.19 ,0.15 ,2022.00 ,Combined,4000,80,960
36101,New York,Steuben,ARC,"Steuben County, New York",0.06 ,0.41 ,0.05 ,0.04 ,0.09 ,0.10 ,0.13 ,0.17 ,0.13 ,0.16 ,0.07 ,0.05 ,0.37 ,0.06 ,0.03 ,0.12 ,0.01 ,0.02 ,0.02 ,0.03 ,0.04 ,0.08 ,0.12 ,0.18 ,0.16 ,0.19 ,0.16 ,2022.00 ,Combined,4000,80,960
36107,New York,Tioga,ARC,"Tioga County, New York",0.06 ,0.39 ,0.04 ,0.04 ,0.07 ,0.09 ,0.13 ,0.17 ,0.15 ,0.18 ,0.08 ,0.07 ,0.38 ,0.05 ,0.03 ,0.12 ,0.01 ,0.01 ,0.02 ,0.02 ,0.03 ,0.07 ,0.11 ,0.18 ,0.16 ,0.21 ,0.18 ,2022.00 ,Combined,4000,80,960
36109,New York,Tompkins,ARC,"Tompkins County, New York",0.05 ,0.42 ,0.09 ,0.03 ,0.06 ,0.08 ,0.12 ,0.16 ,0.12 ,0.16 ,0.08 ,0.10 ,0.26 ,0.03 ,0.03 ,0.08 ,0.01 ,0.01 ,0.01 ,0.01 ,0.02 ,0.05 ,0.07 ,0.17 ,0.13 ,0.23 ,0.31 ,2022.00 ,Combined,4000,80,960
37003,North Carolina,Alexander,ARC,"Alexander County, North Carolina",0.06 ,0.42 ,0.04 ,0.05 ,0.09 ,0.09 ,0.12 ,0.22 ,0.14 ,0.16 ,0.05 ,0.04 ,0.42 ,0.07 ,0.02 ,0.09 ,0.02 ,0.01 ,0.04 ,0.03 ,0.05 ,0.08 ,0.12 ,0.21 ,0.16 ,0.19 ,0.10 ,2022.00 ,Combined,4000,80,960
37005,North Carolina,Alleghany,ARC,"Alleghany County, North Carolina",0.05 ,0.51 ,0.06 ,0.07 ,0.13 ,0.13 ,0.17 ,0.14 ,0.11 ,0.11 ,0.03 ,0.05 ,0.46 ,0.06 ,0.01 ,0.11 ,0.03 ,0.02 ,0.06 ,0.07 ,0.04 ,0.12 ,0.16 ,0.15 ,0.13 ,0.13 ,0.09 ,2022.00 ,Combined,4000,80,960
37009,North Carolina,Ashe,ARC,"Ashe County, North Carolina",0.05 ,0.46 ,0.07 ,0.05 ,0.13 ,0.12 ,0.15 ,0.20 ,0.11 ,0.10 ,0.06 ,0.02 ,0.45 ,0.05 ,0.01 ,0.12 ,0.02 ,0.01 ,0.04 ,0.04 ,0.06 ,0.12 ,0.16 ,0.22 ,0.12 ,0.13 ,0.10 ,2022.00 ,Combined,4000,80,960
37011,North Carolina,Avery,ARC,"Avery County, North Carolina",0.05 ,0.55 ,0.05 ,0.05 ,0.12 ,0.10 ,0.15 ,0.18 ,0.12 ,0.13 ,0.05 ,0.05 ,0.47 ,0.05 ,0.02 ,0.09 ,0.02 ,0.03 ,0.04 ,0.04 ,0.05 ,0.10 ,0.13 ,0.18 ,0.13 ,0.15 ,0.13 ,2022.00 ,Combined,4000,80,960
37021,North Carolina,Buncombe,ARC,"Buncombe County, North Carolina",0.04 ,0.39 ,0.04 ,0.04 ,0.09 ,0.08 ,0.13 ,0.18 ,0.13 ,0.16 ,0.07 ,0.09 ,0.36 ,0.03 ,0.01 ,0.09 ,0.01 ,0.01 ,0.03 ,0.03 ,0.03 ,0.06 ,0.10 ,0.18 ,0.14 ,0.20 ,0.21 ,2022.00 ,Combined,4000,80,960
37023,North Carolina,Burke,ARC,"Burke County, North Carolina",0.06 ,0.43 ,0.05 ,0.05 ,0.11 ,0.09 ,0.16 ,0.18 ,0.13 ,0.14 ,0.04 ,0.04 ,0.41 ,0.05 ,0.02 ,0.14 ,0.03 ,0.01 ,0.04 ,0.04 ,0.04 ,0.07 ,0.16 ,0.19 ,0.15 ,0.17 ,0.10 ,2022.00 ,Combined,4000,80,960
37027,North Carolina,Caldwell,ARC,"Caldwell County, North Carolina",0.06 ,0.42 ,0.04 ,0.06 ,0.13 ,0.12 ,0.13 ,0.18 ,0.12 ,0.15 ,0.05 ,0.03 ,0.43 ,0.06 ,0.01 ,0.12 ,0.01 ,0.01 ,0.04 ,0.05 ,0.06 ,0.11 ,0.12 ,0.19 ,0.13 ,0.19 ,0.09 ,2022.00 ,Combined,4000,80,960
37035,North Carolina,Catawba,ARC,"Catawba County, North Carolina",0.05 ,0.39 ,0.05 ,0.04 ,0.09 ,0.09 ,0.13 ,0.19 ,0.14 ,0.16 ,0.06 ,0.06 ,0.35 ,0.05 ,0.03 ,0.12 ,0.03 ,0.01 ,0.03 ,0.03 ,0.04 ,0.07 ,0.12 ,0.18 ,0.15 ,0.19 ,0.15 ,2022.00 ,Combined,4000,80,960
37039,North Carolina,Cherokee,ARC,"Cherokee County, North Carolina",0.05 ,0.52 ,0.04 ,0.07 ,0.11 ,0.13 ,0.15 ,0.19 ,0.12 ,0.11 ,0.03 ,0.03 ,0.52 ,0.06 ,0.01 ,0.10 ,0.03 ,0.01 ,0.07 ,0.03 ,0.05 ,0.12 ,0.15 ,0.21 ,0.13 ,0.13 ,0.07 ,2022.00 ,Combined,4000,80,960
37043,North Carolina,Clay,ARC,"Clay County, North Carolina",0.04 ,0.53 ,0.03 ,0.11 ,0.10 ,0.11 ,0.11 ,0.14 ,0.12 ,0.20 ,0.04 ,0.04 ,0.55 ,0.08 ,0.01 ,0.11 ,0.00 ,0.02 ,0.08 ,0.04 ,0.07 ,0.11 ,0.11 ,0.15 ,0.13 ,0.18 ,0.10 ,2022.00 ,Combined,4000,80,960
37045,North Carolina,Cleveland,ARC,"Cleveland County, North Carolina",0.06 ,0.42 ,0.07 ,0.06 ,0.11 ,0.11 ,0.15 ,0.16 ,0.12 ,0.13 ,0.05 ,0.04 ,0.41 ,0.05 ,0.02 ,0.19 ,0.03 ,0.02 ,0.03 ,0.04 ,0.04 ,0.09 ,0.14 ,0.18 ,0.14 ,0.17 ,0.11 ,2022.00 ,Combined,4000,80,960
37059,North Carolina,Davie,ARC,"Davie County, North Carolina",0.05 ,0.41 ,0.04 ,0.03 ,0.07 ,0.07 ,0.15 ,0.19 ,0.12 ,0.19 ,0.08 ,0.07 ,0.41 ,0.06 ,0.02 ,0.11 ,0.01 ,0.01 ,0.02 ,0.02 ,0.04 ,0.05 ,0.14 ,0.20 ,0.13 ,0.21 ,0.17 ,2022.00 ,Combined,4000,80,960
37067,North Carolina,Forsyth,ARC,"Forsyth County, North Carolina",0.06 ,0.38 ,0.06 ,0.05 ,0.09 ,0.10 ,0.12 ,0.17 ,0.13 ,0.15 ,0.06 ,0.07 ,0.32 ,0.05 ,0.02 ,0.13 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.08 ,0.10 ,0.17 ,0.14 ,0.20 ,0.20 ,2022.00 ,Combined,4000,80,960
37075,North Carolina,Graham,ARC,"Graham County, North Carolina",0.08 ,0.49 ,0.08 ,0.04 ,0.10 ,0.10 ,0.22 ,0.19 ,0.09 ,0.11 ,0.06 ,0.02 ,0.43 ,0.10 ,0.00 ,0.13 ,0.03 ,0.02 ,0.02 ,0.06 ,0.02 ,0.10 ,0.23 ,0.20 ,0.10 ,0.13 ,0.09 ,2022.00 ,Combined,4000,80,960
37087,North Carolina,Haywood,ARC,"Haywood County, North Carolina",0.04 ,0.44 ,0.05 ,0.05 ,0.11 ,0.11 ,0.14 ,0.15 ,0.12 ,0.17 ,0.04 ,0.06 ,0.45 ,0.06 ,0.02 ,0.12 ,0.02 ,0.02 ,0.02 ,0.04 ,0.04 ,0.10 ,0.13 ,0.17 ,0.14 ,0.19 ,0.12 ,2022.00 ,Combined,4000,80,960
37089,North Carolina,Henderson,ARC,"Henderson County, North Carolina",0.04 ,0.42 ,0.05 ,0.03 ,0.07 ,0.10 ,0.13 ,0.18 ,0.14 ,0.16 ,0.06 ,0.06 ,0.43 ,0.04 ,0.02 ,0.08 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 ,0.08 ,0.10 ,0.18 ,0.16 ,0.19 ,0.16 ,2022.00 ,Combined,4000,80,960
37099,North Carolina,Jackson,ARC,"Jackson County, North Carolina",0.06 ,0.44 ,0.06 ,0.09 ,0.09 ,0.10 ,0.16 ,0.18 ,0.13 ,0.13 ,0.04 ,0.04 ,0.40 ,0.04 ,0.01 ,0.10 ,0.01 ,0.01 ,0.05 ,0.04 ,0.03 ,0.08 ,0.14 ,0.19 ,0.15 ,0.18 ,0.12 ,2022.00 ,Combined,4000,80,960
