FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
28003,Mississippi,Alcorn,ARC,"Alcorn County, Mississippi",27882,15378,15349,14372,977,29,12504,6.37%,44.85%,13975,1011,7.23%,1188,8.50%,1868,13.37%,1427,10.21%,1827,13.07%,2652,18.98%,1393,9.97%,1540,11.02%,699,5.00%,370,2.65%,47716,5551,39.72%,1587,11.36%,215,1.54%,2738,19.59%,12
28009,Mississippi,Benton,ARC,"Benton County, Mississippi",6299,3404,3404,3253,151,0,2895,4.44%,45.96%,3086,264,8.55%,189,6.12%,534,17.30%,331,10.73%,534,17.30%,534,17.30%,289,9.36%,282,9.14%,36,1.17%,93,3.01%,38750,1361,44.10%,272,8.81%,86,2.79%,521,16.88%,15
28013,Mississippi,Calhoun,ARC,"Calhoun County, Mississippi",10644,5934,5924,5673,251,10,4710,4.24%,44.25%,5641,256,4.54%,488,8.65%,852,15.10%,667,11.82%,870,15.42%,1120,19.85%,622,11.03%,603,10.69%,99,1.76%,64,1.13%,44505,2268,40.21%,620,10.99%,184,3.26%,733,12.99%,16
28017,Mississippi,Chickasaw,ARC,"Chickasaw County, Mississippi",13269,6960,6960,6743,217,0,6309,3.12%,47.55%,6767,669,9.89%,800,11.82%,906,13.39%,687,10.15%,1168,17.26%,890,13.15%,693,10.24%,681,10.06%,213,3.15%,60,0.89%,40224,2941,43.46%,466,6.89%,63,0.93%,1086,16.05%,25.2
28019,Mississippi,Choctaw,ARC,"Choctaw County, Mississippi",6615,3418,3402,3153,249,16,3197,7.32%,48.33%,3532,158,4.47%,301,8.52%,603,17.07%,411,11.64%,465,13.17%,575,16.28%,412,11.66%,465,13.17%,55,1.56%,87,2.46%,41887,1689,47.82%,329,9.31%,44,1.25%,536,15.18%,17
28025,Mississippi,Clay,ARC,"Clay County, Mississippi",14892,7798,7774,7086,688,24,7094,8.85%,47.64%,7582,835,11.01%,663,8.74%,900,11.87%,1175,15.50%,1044,13.77%,1159,15.29%,973,12.83%,541,7.14%,165,2.18%,127,1.68%,37412,2586,34.11%,271,3.57%,73,0.96%,1410,18.60%,19.3
28057,Mississippi,Itawamba,ARC,"Itawamba County, Mississippi",19379,11227,11172,10859,313,55,8152,2.80%,42.07%,8976,328,3.65%,550,6.13%,864,9.63%,1008,11.23%,1330,14.82%,1377,15.34%,1487,16.57%,1581,17.61%,267,2.97%,184,2.05%,57252,3337,37.18%,505,5.63%,76,0.85%,644,7.17%,5.5
28069,Mississippi,Kemper,ARC,"Kemper County, Mississippi",7547,3825,3825,3287,538,0,3722,14.07%,49.32%,3143,370,11.77%,189,6.01%,483,15.37%,212,6.75%,662,21.06%,512,16.29%,281,8.94%,191,6.08%,149,4.74%,94,2.99%,42947,1447,46.04%,217,6.90%,2,0.06%,506,16.10%,18.8
28081,Mississippi,Lee,ARC,"Lee County, Mississippi",65268,41026,40783,38514,2269,243,24242,5.56%,37.14%,32001,1571,4.91%,1693,5.29%,3129,9.78%,2893,9.04%,3752,11.72%,4894,15.29%,4891,15.28%,5404,16.89%,1837,5.74%,1937,6.05%,64479,10521,32.88%,1666,5.21%,526,1.64%,3038,9.49%,10.7
28087,Mississippi,Lowndes,ARC,"Lowndes County, Mississippi",46255,26714,25412,23827,1585,1302,19541,6.24%,42.25%,22651,1993,8.80%,1579,6.97%,2710,11.96%,2098,9.26%,2296,10.14%,3510,15.50%,2861,12.63%,3292,14.53%,1297,5.73%,1015,4.48%,53687,7573,33.43%,980,4.33%,246,1.09%,3006,13.27%,16.1
28093,Mississippi,Marshall,ARC,"Marshall County, Mississippi",27768,14949,14949,14230,719,0,12819,4.81%,46.16%,12797,745,5.82%,872,6.81%,1189,9.29%,1202,9.39%,2272,17.75%,2384,18.63%,1016,7.94%,1924,15.03%,571,4.46%,622,4.86%,51431,5058,39.52%,1454,11.36%,311,2.43%,1282,10.02%,16.5
28095,Mississippi,Monroe,ARC,"Monroe County, Mississippi",27302,14419,14412,13621,791,7,12883,5.49%,47.19%,13410,950,7.08%,774,5.77%,1733,12.92%,1344,10.02%,1736,12.95%,2282,17.02%,1608,11.99%,1837,13.70%,699,5.21%,447,3.33%,51190,5158,38.46%,828,6.17%,401,2.99%,1658,12.36%,13.3
28097,Mississippi,Montgomery,ARC,"Montgomery County, Mississippi",7835,3817,3817,3519,298,0,4018,7.81%,51.28%,3830,423,11.04%,357,9.32%,481,12.56%,547,14.28%,681,17.78%,437,11.41%,327,8.54%,284,7.42%,140,3.66%,153,3.99%,36845,1896,49.50%,426,11.12%,82,2.14%,624,16.29%,20.9
28103,Mississippi,Noxubee,ARC,"Noxubee County, Mississippi",7996,4275,4275,3877,398,0,3721,9.31%,46.54%,3696,462,12.50%,320,8.66%,386,10.44%,417,11.28%,571,15.45%,806,21.81%,273,7.39%,347,9.39%,101,2.73%,13,0.35%,42298,1602,43.34%,535,14.48%,145,3.92%,1024,27.71%,21.3
28105,Mississippi,Oktibbeha,ARC,"Oktibbeha County, Mississippi",43626,24575,24575,22904,1671,0,19051,6.80%,43.67%,21165,3484,16.46%,1317,6.22%,2702,12.77%,1761,8.32%,2633,12.44%,2317,10.95%,2286,10.80%,2293,10.83%,1390,6.57%,982,4.64%,42953,4827,22.81%,1047,4.95%,539,2.55%,2103,9.94%,13.9
28107,Mississippi,Panola,ARC,"Panola County, Mississippi",25797,13105,13069,11828,1241,36,12692,9.50%,49.20%,12392,784,6.33%,1173,9.47%,1426,11.51%,1534,12.38%,1370,11.06%,1905,15.37%,1720,13.88%,1336,10.78%,762,6.15%,382,3.08%,47894,5723,46.18%,1153,9.30%,346,2.79%,1655,13.36%,18.4
28115,Mississippi,Pontotoc,ARC,"Pontotoc County, Mississippi",23824,14098,14074,13660,414,24,9726,2.94%,40.82%,11630,716,6.16%,458,3.94%,1128,9.70%,1365,11.74%,1744,15.00%,1907,16.40%,1593,13.70%,1832,15.75%,671,5.77%,216,1.86%,54414,3964,34.08%,696,5.98%,125,1.07%,1216,10.46%,14.7
28117,Mississippi,Prentiss,ARC,"Prentiss County, Mississippi",20085,11028,11028,10477,551,0,9057,5.00%,45.09%,9296,768,8.26%,703,7.56%,998,10.74%,749,8.06%,1365,14.68%,1521,16.36%,1259,13.54%,1255,13.50%,362,3.89%,316,3.40%,51578,3538,38.06%,861,9.26%,219,2.36%,999,10.75%,11.8
28139,Mississippi,Tippah,ARC,"Tippah County, Mississippi",17150,9820,9815,9229,586,5,7330,5.97%,42.74%,8091,358,4.42%,590,7.29%,1175,14.52%,863,10.67%,1348,16.66%,1232,15.23%,1170,14.46%,941,11.63%,207,2.56%,207,2.56%,47968,3283,40.58%,605,7.48%,69,0.85%,907,11.21%,15.2
28141,Mississippi,Tishomingo,ARC,"Tishomingo County, Mississippi",15268,7790,7790,7514,276,0,7478,3.54%,48.98%,8463,786,9.29%,620,7.33%,1324,15.64%,639,7.55%,1048,12.38%,1564,18.48%,1075,12.70%,789,9.32%,334,3.95%,284,3.36%,45545,3331,39.36%,1085,12.82%,75,0.89%,917,10.84%,14
28145,Mississippi,Union,ARC,"Union County, Mississippi",21621,12701,12690,12173,517,11,8920,4.07%,41.26%,10227,407,3.98%,357,3.49%,1219,11.92%,1026,10.03%,1490,14.57%,2005,19.60%,1452,14.20%,1295,12.66%,520,5.08%,456,4.46%,55970,3964,38.76%,871,8.52%,266,2.60%,719,7.03%,9.4
28155,Mississippi,Webster,ARC,"Webster County, Mississippi",7802,4392,4392,4112,280,0,3410,6.38%,43.71%,4065,259,6.37%,251,6.17%,371,9.13%,395,9.72%,556,13.68%,782,19.24%,601,14.78%,531,13.06%,232,5.71%,87,2.14%,55657,1674,41.18%,305,7.50%,117,2.88%,816,20.07%,13.4
28159,Mississippi,Winston,ARC,"Winston County, Mississippi",14208,7087,7033,6547,486,54,7121,6.91%,50.12%,7131,459,6.44%,553,7.75%,1078,15.12%,823,11.54%,842,11.81%,1432,20.08%,706,9.90%,807,11.32%,177,2.48%,254,3.56%,45516,3232,45.32%,673,9.44%,110,1.54%,1400,19.63%,26.5
28161,Mississippi,Yalobusha,ARC,"Yalobusha County, Mississippi",10171,5311,5257,4992,265,54,4860,5.04%,47.78%,5106,352,6.89%,363,7.11%,731,14.32%,704,13.79%,536,10.50%,999,19.57%,625,12.24%,484,9.48%,264,5.17%,48,0.94%,47006,2387,46.75%,440,8.62%,65,1.27%,533,10.44%,17.8
36003,New York,Allegany,ARC,"Allegany County, New York",39045,21151,21140,19595,1545,11,17894,7.31%,45.83%,16813,1145,6.81%,759,4.51%,1478,8.79%,1567,9.32%,2148,12.78%,3239,19.26%,2429,14.45%,2570,15.29%,907,5.39%,571,3.40%,58725,7253,43.14%,1366,8.12%,685,4.07%,2508,14.92%,13.1
36007,New York,Broome,ARC,"Broome County, New York",165200,93861,93816,87302,6514,45,71339,6.94%,43.18%,81339,5614,6.90%,4356,5.36%,8348,10.26%,7003,8.61%,9815,12.07%,14316,17.60%,9436,11.60%,12499,15.37%,4991,6.14%,4961,6.10%,58317,29769,36.60%,5104,6.27%,2813,3.46%,12565,15.45%,13.5
36009,New York,Cattaraugus,ARC,"Cattaraugus County, New York",62073,35173,35118,33221,1897,55,26900,5.40%,43.34%,31491,1729,5.49%,2101,6.67%,2995,9.51%,3154,10.02%,4333,13.76%,5554,17.64%,4194,13.32%,4761,15.12%,1513,4.80%,1157,3.67%,56889,12813,40.69%,2512,7.98%,953,3.03%,5141,16.33%,13.4
36013,New York,Chautauqua,ARC,"Chautauqua County, New York",104792,58347,58337,55176,3161,10,46445,5.42%,44.32%,53405,3371,6.31%,3188,5.97%,6001,11.24%,5191,9.72%,6921,12.96%,9480,17.75%,6640,12.43%,7937,14.86%,2790,5.22%,1886,3.53%,54625,21033,39.38%,3879,7.26%,2274,4.26%,10428,19.53%,13.4
36015,New York,Chemung,ARC,"Chemung County, New York",68248,39211,39143,36664,2479,68,29037,6.33%,42.55%,34779,2027,5.83%,1818,5.23%,2663,7.66%,3234,9.30%,4135,11.89%,6548,18.83%,4884,14.04%,5870,16.88%,2007,5.77%,1593,4.58%,61358,13638,39.21%,1958,5.63%,1435,4.13%,5893,16.94%,11.5
36017,New York,Chenango,ARC,"Chenango County, New York",38574,22878,22858,21234,1624,20,15696,7.10%,40.69%,19886,671,3.37%,978,4.92%,1878,9.44%,1905,9.58%,2567,12.91%,3940,19.81%,2707,13.61%,3330,16.75%,1167,5.87%,743,3.74%,61741,8281,41.64%,1634,8.22%,823,4.14%,3070,15.44%,8.8
36023,New York,Cortland,ARC,"Cortland County, New York",39204,24641,24605,23285,1320,36,14563,5.36%,37.15%,18514,687,3.71%,954,5.15%,1460,7.89%,1561,8.43%,2349,12.69%,3811,20.58%,2424,13.09%,3051,16.48%,1399,7.56%,818,4.42%,65029,6095,32.92%,1110,6.00%,456,2.46%,2556,13.81%,6.9
36025,New York,Delaware,ARC,"Delaware County, New York",38334,20503,20500,19247,1253,3,17831,6.11%,46.51%,18780,1044,5.56%,999,5.32%,1859,9.90%,1645,8.76%,2461,13.10%,3474,18.50%,2562,13.64%,2676,14.25%,1145,6.10%,915,4.87%,58338,8768,46.69%,1380,7.35%,566,3.01%,2315,12.33%,11.5
36077,New York,Otsego,ARC,"Otsego County, New York",51534,28886,28757,27331,1426,129,22648,4.96%,43.95%,22305,1016,4.56%,994,4.46%,2025,9.08%,1657,7.43%,2597,11.64%,4342,19.47%,3248,14.56%,3804,17.05%,1358,6.09%,1264,5.67%,65778,9260,41.52%,926,4.15%,426,1.91%,2206,9.89%,8.5
36095,New York,Schoharie,ARC,"Schoharie County, New York",25411,14719,14703,13925,778,16,10692,5.29%,42.08%,12283,418,3.40%,655,5.33%,911,7.42%,889,7.24%,1490,12.13%,2173,17.69%,1924,15.66%,2173,17.69%,828,6.74%,822,6.69%,71479,5323,43.34%,762,6.20%,408,3.32%,1422,11.58%,6.1
36097,New York,Schuyler,ARC,"Schuyler County, New York",14927,8732,8682,8190,492,50,6195,5.67%,41.50%,7446,333,4.47%,337,4.53%,776,10.42%,643,8.64%,993,13.34%,1110,14.91%,1126,15.12%,1245,16.72%,554,7.44%,329,4.42%,61316,3057,41.06%,506,6.80%,233,3.13%,1257,16.88%,11.6
36101,New York,Steuben,ARC,"Steuben County, New York",75864,44996,44987,42149,2838,9,30868,6.31%,40.69%,39165,2130,5.44%,1467,3.75%,3359,8.58%,3768,9.62%,5284,13.49%,6651,16.98%,5284,13.49%,6364,16.25%,2825,7.21%,2033,5.19%,62506,14677,37.47%,2388,6.10%,1159,2.96%,4613,11.78%,9.5
36107,New York,Tioga,ARC,"Tioga County, New York",39720,24068,24068,22722,1346,0,15652,5.59%,39.41%,20312,745,3.67%,842,4.15%,1488,7.33%,1729,8.51%,2541,12.51%,3417,16.82%,3006,14.80%,3610,17.77%,1543,7.60%,1391,6.85%,70427,7697,37.89%,1112,5.47%,608,2.99%,2378,11.71%,6.4
36109,New York,Tompkins,ARC,"Tompkins County, New York",89300,51900,51844,49415,2429,56,37400,4.69%,41.88%,42984,3750,8.72%,1482,3.45%,2691,6.26%,3241,7.54%,4980,11.59%,6707,15.60%,5069,11.79%,6923,16.11%,3643,8.48%,4498,10.46%,69995,11350,26.41%,1426,3.32%,1103,2.57%,3448,8.02%,5.5
37003,North Carolina,Alexander,ARC,"Alexander County, North Carolina",30289,17589,17589,16607,982,0,12700,5.58%,41.93%,13761,567,4.12%,647,4.70%,1234,8.97%,1227,8.92%,1703,12.38%,3083,22.40%,1929,14.02%,2236,16.25%,625,4.54%,510,3.71%,62764,5755,41.82%,912,6.63%,261,1.90%,1229,8.93%,9.7
37005,North Carolina,Alleghany,ARC,"Alleghany County, North Carolina",9404,4643,4643,4396,247,0,4761,5.32%,50.63%,4937,296,6.00%,342,6.93%,657,13.31%,637,12.90%,846,17.14%,696,14.10%,551,11.16%,540,10.94%,139,2.82%,233,4.72%,42115,2293,46.45%,274,5.55%,51,1.03%,533,10.80%,15.4
37009,North Carolina,Ashe,ARC,"Ashe County, North Carolina",22892,12365,12339,11710,629,26,10527,5.10%,45.99%,11823,772,6.53%,540,4.57%,1487,12.58%,1438,12.16%,1777,15.03%,2337,19.77%,1255,10.61%,1240,10.49%,737,6.23%,240,2.03%,49176,5294,44.78%,622,5.26%,68,0.58%,1434,12.13%,9.7
37011,North Carolina,Avery,ARC,"Avery County, North Carolina",15564,7051,7051,6698,353,0,8513,5.01%,54.70%,6481,322,4.97%,339,5.23%,748,11.54%,676,10.43%,974,15.03%,1148,17.71%,785,12.11%,825,12.73%,312,4.81%,352,5.43%,53513,3038,46.88%,348,5.37%,151,2.33%,608,9.38%,7.6
37021,North Carolina,Buncombe,ARC,"Buncombe County, North Carolina",226493,137078,136867,131883,4984,211,89415,3.64%,39.48%,102921,4069,3.95%,4447,4.32%,8972,8.72%,8394,8.16%,13094,12.72%,18833,18.30%,13171,12.80%,16135,15.68%,6773,6.58%,9033,8.78%,66531,37446,36.38%,3378,3.28%,1272,1.24%,8903,8.65%,7.5
37023,North Carolina,Burke,ARC,"Burke County, North Carolina",73800,42104,42059,39539,2520,45,31696,5.99%,42.95%,35195,1910,5.43%,1852,5.26%,3886,11.04%,3192,9.07%,5692,16.17%,6342,18.02%,4561,12.96%,4990,14.18%,1410,4.01%,1360,3.86%,53732,14519,41.25%,1633,4.64%,674,1.92%,4939,14.03%,14.4
37027,North Carolina,Caldwell,ARC,"Caldwell County, North Carolina",66660,38701,38670,36435,2235,31,27959,5.78%,41.94%,32120,1281,3.99%,1772,5.52%,4113,12.81%,3758,11.70%,4265,13.28%,5836,18.17%,3915,12.19%,4823,15.02%,1446,4.50%,911,2.84%,52362,13821,43.03%,2013,6.27%,264,0.82%,3914,12.19%,11.1
37035,North Carolina,Catawba,ARC,"Catawba County, North Carolina",130560,80055,80008,75895,4113,47,50505,5.14%,38.68%,64442,3252,5.05%,2626,4.07%,5745,8.91%,6079,9.43%,8384,13.01%,12299,19.09%,8719,13.53%,10091,15.66%,3542,5.50%,3705,5.75%,62070,22776,35.34%,3064,4.75%,1726,2.68%,7786,12.08%,10.3
37039,North Carolina,Cherokee,ARC,"Cherokee County, North Carolina",24817,12014,11981,11391,590,33,12803,4.92%,51.59%,12758,557,4.37%,878,6.88%,1431,11.22%,1676,13.14%,1960,15.36%,2439,19.12%,1587,12.44%,1448,11.35%,413,3.24%,369,2.89%,49254,6637,52.02%,724,5.67%,103,0.81%,1314,10.30%,13
37043,North Carolina,Clay,ARC,"Clay County, North Carolina",9735,4567,4567,4386,181,0,5168,3.96%,53.09%,4892,158,3.23%,545,11.14%,511,10.45%,531,10.85%,535,10.94%,689,14.08%,567,11.59%,955,19.52%,193,3.95%,208,4.25%,57065,2681,54.80%,403,8.24%,70,1.43%,535,10.94%,7
37045,North Carolina,Cleveland,ARC,"Cleveland County, North Carolina",80115,46393,46264,43294,2970,129,33722,6.42%,42.09%,36567,2617,7.16%,2190,5.99%,3866,10.57%,4005,10.95%,5414,14.81%,5977,16.35%,4516,12.35%,4799,13.12%,1733,4.74%,1450,3.97%,50723,15077,41.23%,1903,5.20%,736,2.01%,7054,19.29%,15.7
37059,North Carolina,Davie,ARC,"Davie County, North Carolina",35367,20828,20746,19800,946,82,14539,4.56%,41.11%,16468,633,3.84%,493,2.99%,1189,7.22%,1098,6.67%,2404,14.60%,3094,18.79%,1984,12.05%,3104,18.85%,1324,8.04%,1145,6.95%,69105,6670,40.50%,907,5.51%,285,1.73%,1787,10.85%,10.4
37067,North Carolina,Forsyth,ARC,"Forsyth County, North Carolina",307220,189556,188796,178260,10536,760,117664,5.58%,38.30%,153096,9294,6.07%,7048,4.60%,13514,8.83%,15353,10.03%,18752,12.25%,25963,16.96%,19539,12.76%,22807,14.90%,9846,6.43%,10980,7.17%,61229,49693,32.46%,7092,4.63%,2322,1.52%,19722,12.88%,12.6
37075,North Carolina,Graham,ARC,"Graham County, North Carolina",6671,3434,3434,3171,263,0,3237,7.66%,48.52%,3179,242,7.61%,122,3.84%,313,9.85%,330,10.38%,691,21.74%,616,19.38%,274,8.62%,338,10.63%,201,6.32%,52,1.64%,46010,1369,43.06%,324,10.19%,14,0.44%,412,12.96%,8.7
37087,North Carolina,Haywood,ARC,"Haywood County, North Carolina",52396,29094,29033,28010,1023,61,23302,3.52%,44.47%,26481,1252,4.73%,1405,5.31%,2783,10.51%,2959,11.17%,3616,13.66%,4069,15.37%,3297,12.45%,4585,17.31%,1011,3.82%,1504,5.68%,56596,11933,45.06%,1622,6.13%,466,1.76%,3069,11.59%,9.3
37089,North Carolina,Henderson,ARC,"Henderson County, North Carolina",97554,56577,56548,54554,1994,29,40977,3.53%,42.00%,49494,2497,5.05%,1696,3.43%,3698,7.47%,4825,9.75%,6229,12.59%,9035,18.25%,7121,14.39%,8103,16.37%,3188,6.44%,3102,6.27%,65508,21517,43.47%,1832,3.70%,1096,2.21%,4040,8.16%,9.1
37099,North Carolina,Jackson,ARC,"Jackson County, North Carolina",36300,20401,20345,19135,1210,56,15899,5.95%,43.80%,17737,1022,5.76%,1512,8.52%,1585,8.94%,1742,9.82%,2771,15.62%,3154,17.78%,2254,12.71%,2248,12.67%,680,3.83%,769,4.34%,51482,7073,39.88%,675,3.81%,253,1.43%,1785,10.06%,12.6
37111,North Carolina,McDowell,ARC,"McDowell County, North Carolina",36939,19890,19890,18793,1097,0,17049,5.52%,46.15%,18184,973,5.35%,985,5.42%,1557,8.56%,2182,12.00%,2943,16.18%,3435,18.89%,2385,13.12%,2291,12.60%,837,4.60%,596,3.28%,53532,7687,42.27%,1231,6.77%,321,1.77%,3123,17.17%,11.1
37113,North Carolina,Macon,ARC,"Macon County, North Carolina",31327,16290,16279,15716,563,11,15037,3.46%,48.00%,17386,1040,5.98%,1234,7.10%,2081,11.97%,1802,10.36%,2403,13.82%,3128,17.99%,2134,12.27%,2005,11.53%,794,4.57%,765,4.40%,51042,8222,47.29%,933,5.37%,250,1.44%,1669,9.60%,10.8
37115,North Carolina,Madison,ARC,"Madison County, North Carolina",18215,9913,9885,9715,170,28,8302,1.72%,45.58%,8447,547,6.48%,580,6.87%,847,10.03%,904,10.70%,974,11.53%,1146,13.57%,1242,14.70%,1193,14.12%,501,5.93%,513,6.07%,56664,3717,44.00%,334,3.95%,76,0.90%,1049,12.42%,7
37121,North Carolina,Mitchell,ARC,"Mitchell County, North Carolina",12658,6981,6981,6538,443,0,5677,6.35%,44.85%,6479,427,6.59%,468,7.22%,651,10.05%,569,8.78%,907,14.00%,1171,18.07%,954,14.72%,776,11.98%,355,5.48%,201,3.10%,55534,3033,46.81%,390,6.02%,113,1.74%,929,14.34%,8.4
37149,North Carolina,Polk,ARC,"Polk County, North Carolina",16797,8943,8934,8553,381,9,7854,4.26%,46.76%,8541,437,5.12%,442,5.18%,759,8.89%,932,10.91%,977,11.44%,1597,18.70%,1189,13.92%,1236,14.47%,456,5.34%,516,6.04%,60465,4386,51.35%,291,3.41%,247,2.89%,771,9.03%,7.9
37161,North Carolina,Rutherford,ARC,"Rutherford County, North Carolina",53299,28408,28408,26708,1700,0,24891,5.98%,46.70%,26273,1473,5.61%,1712,6.52%,3098,11.79%,3040,11.57%,3710,14.12%,4983,18.97%,3030,11.53%,3057,11.64%,1087,4.14%,1083,4.12%,50512,11486,43.72%,1688,6.42%,583,2.22%,4898,18.64%,14.5
37169,North Carolina,Stokes,ARC,"Stokes County, North Carolina",37552,20836,20772,19662,1110,64,16716,5.34%,44.51%,18993,689,3.63%,1114,5.87%,1776,9.35%,1697,8.93%,2834,14.92%,3911,20.59%,2916,15.35%,2514,13.24%,974,5.13%,568,2.99%,57539,7719,40.64%,970,5.11%,715,3.76%,2534,13.34%,9.7
37171,North Carolina,Surry,ARC,"Surry County, North Carolina",58168,33420,33388,31768,1620,32,24748,4.85%,42.55%,28990,1861,6.42%,2156,7.44%,3414,11.78%,3249,11.21%,3297,11.37%,4237,14.62%,4253,14.67%,4336,14.96%,1196,4.13%,991,3.42%,52743,12029,41.49%,1921,6.63%,628,2.17%,5087,17.55%,14
37173,North Carolina,Swain,ARC,"Swain County, North Carolina",11274,6221,6221,5754,467,0,5053,7.51%,44.82%,5684,348,6.12%,427,7.51%,711,12.51%,478,8.41%,763,13.42%,770,13.55%,670,11.79%,979,17.22%,355,6.25%,183,3.22%,52818,2317,40.76%,436,7.67%,170,2.99%,783,13.78%,17
37175,North Carolina,Transylvania,ARC,"Transylvania County, North Carolina",28521,14785,14785,14196,589,0,13736,3.98%,48.16%,14353,847,5.90%,625,4.35%,1070,7.45%,1287,8.97%,2191,15.27%,2502,17.43%,1865,12.99%,2233,15.56%,881,6.14%,852,5.94%,62056,7202,50.18%,583,4.06%,221,1.54%,1472,10.26%,9.1
37189,North Carolina,Watauga,ARC,"Watauga County, North Carolina",48773,29147,29122,26404,2718,25,19626,9.33%,40.24%,21194,2284,10.78%,1166,5.50%,2129,10.05%,2072,9.78%,2942,13.88%,3022,14.26%,2448,11.55%,2789,13.16%,1145,5.40%,1197,5.65%,50034,6625,31.26%,522,2.46%,242,1.14%,1360,6.42%,7
37193,North Carolina,Wilkes,ARC,"Wilkes County, North Carolina",54382,30470,30382,28568,1814,88,23912,5.97%,43.97%,27249,1380,5.06%,1668,6.12%,3163,11.61%,3049,11.19%,4558,16.73%,5169,18.97%,3432,12.59%,3188,11.70%,1051,3.86%,591,2.17%,49119,12306,45.16%,1715,6.29%,453,1.66%,4196,15.40%,14.6
37197,North Carolina,Yadkin,ARC,"Yadkin County, North Carolina",30516,17903,17835,16900,935,68,12613,5.24%,41.33%,14850,651,4.38%,439,2.96%,1859,12.52%,1561,10.51%,2204,14.84%,2525,17.00%,2071,13.95%,1860,12.53%,839,5.65%,841,5.66%,57486,6205,41.78%,919,6.19%,267,1.80%,1803,12.14%,11.9
37199,North Carolina,Yancey,ARC,"Yancey County, North Carolina",15513,8344,8327,7696,631,17,7169,7.58%,46.21%,7859,677,8.61%,458,5.83%,709,9.02%,723,9.20%,1181,15.03%,1432,18.22%,856,10.89%,1159,14.75%,358,4.56%,306,3.89%,53103,3720,47.33%,390,4.96%,218,2.77%,926,11.78%,10.8
